Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-03-03 00:00:00,Kenya,Kenya,KE,42.86,98.25,89.44,89.44,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-04 00:00:00,Kenya,Kenya,KE,42.27,96.96,89.59,89.59,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-05 00:00:00,Kenya,Kenya,KE,41.08,95.47,89.88,89.88,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-06 00:00:00,Kenya,Kenya,KE,38.33,91.57,90.56,90.56,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-07 00:00:00,Kenya,Kenya,KE,37.07,89.72,90.87,90.87,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-08 00:00:00,Kenya,Kenya,KE,42.86,98.60,89.44,89.44,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-09 00:00:00,Kenya,Kenya,KE,44.08,100.60,89.14,89.14,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-10 00:00:00,Kenya,Kenya,KE,43.06,98.75,89.39,89.39,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-11 00:00:00,Kenya,Kenya,KE,42.33,97.55,89.57,89.57,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-12 00:00:00,Kenya,Kenya,KE,41.09,95.49,89.88,89.88,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-13 00:00:00,Kenya,Kenya,KE,38.71,91.99,90.47,90.47,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-14 00:00:00,Kenya,Kenya,KE,37.95,91.15,90.65,90.65,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-15 00:00:00,Kenya,Kenya,KE,42.97,98.67,89.42,89.42,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-16 00:00:00,Kenya,Kenya,KE,43.49,99.11,89.29,89.29,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
