Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,Kenya,Kenya,KE,41.94,96.99,89.67,89.67,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-02-01 00:00:00,Kenya,Kenya,KE,42.35,97.84,89.57,89.57,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-01 00:00:00,Kenya,Kenya,KE,42.03,97.19,89.65,89.65,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-01 00:00:00,Kenya,Kenya,KE,42.25,97.64,89.59,89.59,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-01 00:00:00,Kenya,Kenya,KE,41.38,95.80,89.81,89.81,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-01 00:00:00,Kenya,Kenya,KE,40.96,94.87,89.91,89.91,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-07-01 00:00:00,Kenya,Kenya,KE,40.34,93.56,90.06,90.06,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-08-01 00:00:00,Kenya,Kenya,KE,40.29,93.47,90.08,90.08,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-09-01 00:00:00,Kenya,Kenya,KE,40.48,93.93,90.03,90.03,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-10-01 00:00:00,Kenya,Kenya,KE,41.08,95.28,89.88,89.88,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-11-01 00:00:00,Kenya,Kenya,KE,42.14,97.58,89.62,89.62,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-12-01 00:00:00,Kenya,Kenya,KE,41.89,97.19,89.68,89.68,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
