Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-08-15 00:00:00,Kenya,Kenya,KE,40.53,94.44,90.02,90.02,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-08-16 00:00:00,Kenya,Kenya,KE,39.56,93.07,90.26,90.26,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-08-17 00:00:00,Kenya,Kenya,KE,37.85,90.70,90.68,90.68,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-08-18 00:00:00,Kenya,Kenya,KE,36.21,88.08,91.08,91.08,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-08-19 00:00:00,Kenya,Kenya,KE,40.85,95.36,89.94,89.94,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-08-20 00:00:00,Kenya,Kenya,KE,41.06,95.48,89.89,89.89,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-08-21 00:00:00,Kenya,Kenya,KE,40.66,94.84,89.99,89.99,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-08-22 00:00:00,Kenya,Kenya,KE,40.51,94.91,90.02,90.02,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-08-23 00:00:00,Kenya,Kenya,KE,39.72,93.61,90.22,90.22,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-08-24 00:00:00,Kenya,Kenya,KE,37.05,89.26,90.87,90.87,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-08-25 00:00:00,Kenya,Kenya,KE,35.53,86.81,91.25,91.25,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-08-26 00:00:00,Kenya,Kenya,KE,39.68,93.32,90.23,90.23,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-08-27 00:00:00,Kenya,Kenya,KE,40.34,94.17,90.06,90.06,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-08-28 00:00:00,Kenya,Kenya,KE,40.30,94.11,90.07,90.07,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-08-29 00:00:00,Kenya,Kenya,KE,39.73,93.28,90.21,90.21,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-08-30 00:00:00,Kenya,Kenya,KE,39.21,92.85,90.34,90.34,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-08-31 00:00:00,Kenya,Kenya,KE,36.07,87.59,91.11,91.11,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-01 00:00:00,Kenya,Kenya,KE,36.19,88.09,91.08,91.08,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-02 00:00:00,Kenya,Kenya,KE,40.58,94.97,90.00,90.00,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-03 00:00:00,Kenya,Kenya,KE,40.99,95.34,89.90,89.90,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-04 00:00:00,Kenya,Kenya,KE,40.47,94.33,90.03,90.03,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-05 00:00:00,Kenya,Kenya,KE,39.91,93.53,90.17,90.17,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-06 00:00:00,Kenya,Kenya,KE,38.70,91.65,90.47,90.47,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-07 00:00:00,Kenya,Kenya,KE,37.15,89.76,90.85,90.85,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-08 00:00:00,Kenya,Kenya,KE,36.36,88.66,91.04,91.04,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-09 00:00:00,Kenya,Kenya,KE,40.69,95.25,89.98,89.98,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-10 00:00:00,Kenya,Kenya,KE,41.44,96.36,89.79,89.79,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-11 00:00:00,Kenya,Kenya,KE,41.53,96.65,89.77,89.77,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-12 00:00:00,Kenya,Kenya,KE,41.26,96.27,89.84,89.84,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-13 00:00:00,Kenya,Kenya,KE,39.98,94.25,90.15,90.15,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-14 00:00:00,Kenya,Kenya,KE,37.50,90.45,90.76,90.76,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-15 00:00:00,Kenya,Kenya,KE,36.40,88.94,91.03,91.03,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-16 00:00:00,Kenya,Kenya,KE,40.84,95.67,89.94,89.94,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-17 00:00:00,Kenya,Kenya,KE,41.38,96.28,89.81,89.81,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-18 00:00:00,Kenya,Kenya,KE,41.71,96.95,89.73,89.73,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-19 00:00:00,Kenya,Kenya,KE,41.69,97.21,89.73,89.73,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-20 00:00:00,Kenya,Kenya,KE,40.49,95.26,90.03,90.03,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-21 00:00:00,Kenya,Kenya,KE,36.72,88.81,90.95,90.95,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-22 00:00:00,Kenya,Kenya,KE,36.03,88.28,91.13,91.13,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-23 00:00:00,Kenya,Kenya,KE,40.16,94.47,90.11,90.11,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-24 00:00:00,Kenya,Kenya,KE,40.91,95.61,89.92,89.92,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-25 00:00:00,Kenya,Kenya,KE,41.14,96.08,89.87,89.87,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-26 00:00:00,Kenya,Kenya,KE,40.46,94.95,90.03,90.03,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-27 00:00:00,Kenya,Kenya,KE,40.29,95.10,90.08,90.08,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-28 00:00:00,Kenya,Kenya,KE,38.01,91.67,90.64,90.64,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-29 00:00:00,Kenya,Kenya,KE,36.28,88.63,91.07,91.07,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-09-30 00:00:00,Kenya,Kenya,KE,42.57,98.93,89.51,89.51,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
