Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,07/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,AUS,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,89.91736497,89.241031,89.6969507,89.22456462,89.64786251,90.19109604,90.605187,90.24428908,91.40191126,91.29454328,91.4614887,91.7501725,92.06741227,91.46973306,91.72452437,91.07544282,90.6605678,91.28505451,91.82883057,92.47709158,91.38450335,89.60675264,89.47330677,86.82947946,85.38313983,86.67466462,85.41642327,84.3211422,82.89830534,80.2955012,77.39970887,73.33875596,69.06577886,66.07583961,
Austria,AUT,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,33.01984332,33.95878251,26.79820277,25.29711375,28.52518256,28.81636283,31.97704082,31.23941874,29.44509745,28.55408244,26.59614411,29.77950007,29.7124754,37.45305281,34.10961467,34.64807278,32.55231678,29.44195194,28.98385963,26.7937528,31.38988865,31.58342577,22.97563462,19.70565861,16.58516458,20.80583164,19.69901036,21.98278279,20.77036303,20.77215292,17.96493839,19.02068109,19.50919891,13.7041862,
Azerbaijan,AZE,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,92.83863165,92.50319829,91.16024895,87.26576033,89.59080303,90.87068763,90.99900509,89.83131385,89.15990666,91.71434859,91.79635275,93.14180285,89.19843859,88.40082683,87.32983812,86.84417629,89.74045553,89.17929235,89.68719678,87.75704897,81.57669695,86.8138366,92.07847573,93.04187719,94.01892591,92.59154245,91.21914075,91.875,91.86253914,92.67413317,94.527652,94.19801341,93.30211095,92.75550247,
Burundi,BDI,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2.890742129,11.53719661,8.24340719,1.884946517,11.87339166,14.56274646,13.89225035,11.70099087,15.93597154,17.65387544,22.58312457,29.71822829,38.69581506,,,
Belgium,BEL,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,37.4688042,37.92398799,37.01626861,38.12434706,40.841519,41.35442426,40.08725476,37.09233443,41.48203359,38.80303855,39.04680284,37.84467747,38.38233681,40.43956044,39.42168389,39.36691722,38.5153747,38.36802797,37.61892913,39.13887457,39.32184042,34.39323896,35.3654425,31.41700502,32.82238611,37.7792124,29.0879144,29.57087937,35.2936473,30.02114391,32.16214101,24.60962769,25.59016957,24.28378491,
Benin,BEN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,100,100,100,100,100,100,100,96.61016949,97.46835443,97.22222222,97.61904762,96.96969697,96.82539683,97.5,98.7654321,99.06542056,97.4025974,98.63636364,98.68995633,99.21875,99.13043478,100,100,100,100,98.18181818,96.37681159,97.58308157,96.53465347,98.48484848,99.08998989,98.57904085,96.6033966,,
Burkina Faso,BFA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,95.10869565,93.29896907,90.04975124,78.13953488,66.2037037,61.31687243,72.99270073,79.80456026,76.92307692,65.27777778,74.87179487,85.24590164,82.46575342,78.42696629,78.48101266,80.46421663,85.40145985,81.8627451,78.06451613,81.14285714,85.05882353,89.92332968,90.44247788,91.5625,93.18181818,94.33262712,91.30938586,91.91419142,88.93214683,85.86118252,82.91586384,83.62223551,85.97962852,,
Bangladesh,BGD,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,88.56699431,89.86698912,91.05014617,93.39561156,91.34300899,96.55746807,93.55935158,93.9365829,93.28520416,94.23529412,95.13664321,94.29047838,95.89070453,96.1038961,96.88474782,97.08884688,97.38285482,97.49145547,97.01388079,98.73757722,97.99480952,97.62689668,97.98131225,97.85640738,98.47313284,98.53414433,98.19476264,98.18055726,98.22258717,98.65055482,98.43474195,98.6267845,98.37710556,,
Bulgaria,BGR,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,60.74369379,61.76153884,61.76635776,58.11511435,55.93580363,53.15752949,50.83575241,51.66927552,51.50919422,50.78174022,48.33349624,50.59133916,46.25694135,51.67370892,51.47161289,47.24444945,47.43145082,58.58835485,57.41279392,54.44558235,53.51424346,58.56841939,53.81655178,50.11297501,49.81680354,49.90757105,48.00238521,50.94273437,44.86410317,44.58397326,39.55930706,43.07097208,48.19501376,34.66898522,
Bahrain,BHR,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.96616478,99.96374951,99.96104752,99.93227326,99.85693046,,
